beat,npu
107,J
602,N
402,T
210,B
412,P
301,V
109,J
414,P
612,W
610,O
105,K
601,F
108,J
313,Z
111,I
506,E
305,Y
502,E
501,E
302,V
406,I
403,S
510,M
307,Y
211,E
112,I
306,X
605,V
303,V
410,R
407,H
511,M
505,E
208,B
113,G
606,N
503,E
304,V
604,M
207,E
603,M
106,K
110,G
209,B
404,I
401,T
413,P
507,M
101,T
50,
409,R
311,X
405,I
104,K
607,W
408,R
103,L
204,D
202,A
508,M
309,X
102,L
411,R
206,B
509,M
203,D
611,O
212,F
213,F
504,M
312,Z
609,O
308,Z
608,N
201,A
512,M
310,Z
706,
701,X
114,H
703,
205,C
705,
707,
050,
    ,
,
