crime_id,crime,date,year,month
100051597,AUTO THEFT,5/1/2010,2010,5
100051625,AGG ASSAULT,5/1/2010,2010,5
100051630,LARCENY-NON VEHICLE,5/1/2010,2010,5
100051642,BURGLARY-RESIDENCE,5/1/2010,2010,5
100051655,LARCENY-NON VEHICLE,5/1/2010,2010,5
100051665,BURGLARY-RESIDENCE,5/1/2010,2010,5
100051687,BURGLARY-RESIDENCE,5/1/2010,2010,5
100051699,LARCENY-NON VEHICLE,5/1/2010,2010,5
100051703,ROBBERY-PEDESTRIAN,5/1/2010,2010,5
100051726,AUTO THEFT,5/1/2010,2010,5
100051732,LARCENY-FROM VEHICLE,5/1/2010,2010,5
100051743,LARCENY-FROM VEHICLE,5/1/2010,2010,5
100051749,BURGLARY-RESIDENCE,5/1/2010,2010,5
100051752,LARCENY-FROM VEHICLE,5/1/2010,2010,5
100051756,BURGLARY-RESIDENCE,5/1/2010,2010,5
100051768,LARCENY-NON VEHICLE,5/1/2010,2010,5
100051864,ROBBERY-PEDESTRIAN,5/1/2010,2010,5
100051869,AUTO THEFT,5/1/2010,2010,5
100051874,BURGLARY-RESIDENCE,5/1/2010,2010,5
100051942,LARCENY-FROM VEHICLE,5/1/2010,2010,5
100051182,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100040671,LARCENY-NON VEHICLE,4/1/2010,2010,4
100040694,AGG ASSAULT,4/1/2010,2010,4
100040729,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100040737,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100040739,BURGLARY-RESIDENCE,4/1/2010,2010,4
100040761,ROBBERY-PEDESTRIAN,4/1/2010,2010,4
100040770,LARCENY-NON VEHICLE,4/1/2010,2010,4
100040805,BURGLARY-RESIDENCE,4/1/2010,2010,4
100040819,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100040824,BURGLARY-RESIDENCE,4/1/2010,2010,4
100040826,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100040831,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100040844,BURGLARY-RESIDENCE,4/1/2010,2010,4
100040861,AUTO THEFT,4/1/2010,2010,4
100040875,LARCENY-NON VEHICLE,4/1/2010,2010,4
100040889,BURGLARY-RESIDENCE,4/1/2010,2010,4
100040899,AUTO THEFT,4/1/2010,2010,4
100040912,BURGLARY-RESIDENCE,4/1/2010,2010,4
100040915,BURGLARY-RESIDENCE,4/1/2010,2010,4
100040941,BURGLARY-RESIDENCE,4/1/2010,2010,4
100040968,LARCENY-NON VEHICLE,4/1/2010,2010,4
100040978,BURGLARY-RESIDENCE,4/1/2010,2010,4
100040983,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100041006,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100041018,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100041062,BURGLARY-RESIDENCE,4/1/2010,2010,4
100041076,LARCENY-NON VEHICLE,4/1/2010,2010,4
100041079,ROBBERY-RESIDENCE,4/1/2010,2010,4
100041115,LARCENY-NON VEHICLE,4/1/2010,2010,4
100041118,LARCENY-NON VEHICLE,4/1/2010,2010,4
100041121,LARCENY-NON VEHICLE,4/1/2010,2010,4
100041152,LARCENY-NON VEHICLE,4/1/2010,2010,4
100041156,BURGLARY-NONRES,4/1/2010,2010,4
100041159,ROBBERY-PEDESTRIAN,4/1/2010,2010,4
100041161,LARCENY-NON VEHICLE,4/1/2010,2010,4
100041174,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100041186,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100041215,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100041221,AUTO THEFT,4/1/2010,2010,4
100041231,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100041232,LARCENY-NON VEHICLE,4/1/2010,2010,4
100041237,BURGLARY-RESIDENCE,4/1/2010,2010,4
100041275,LARCENY-NON VEHICLE,4/1/2010,2010,4
100041276,BURGLARY-RESIDENCE,4/1/2010,2010,4
100041288,AGG ASSAULT,4/1/2010,2010,4
100041307,LARCENY-NON VEHICLE,4/1/2010,2010,4
100041393,BURGLARY-RESIDENCE,4/1/2010,2010,4
100041468,LARCENY-NON VEHICLE,4/1/2010,2010,4
100041478,BURGLARY-RESIDENCE,4/1/2010,2010,4
100041504,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100041511,LARCENY-FROM VEHICLE,4/1/2010,2010,4
100041525,LARCENY-NON VEHICLE,4/1/2010,2010,4
100041539,AUTO THEFT,4/1/2010,2010,4
100041540,LARCENY-FROM VEHICLE,4/1/2010,2010,4
