crime_id,property_type
100051597.0,house_number
100051625.0,house_number
100051630.0,amenity
100051642.0,house_number
100051655.0,shop
100051665.0,house_number
100051687.0,house_number
100051699.0,house_number
100051703.0,city
100051726.0,house_number
100051732.0,house_number
100051743.0,house_number
100051749.0,house_number
100051752.0,house_number
100051756.0,house_number
100051768.0,house_number
100051864.0,house_number
100051869.0,building
100051874.0,house_number
100051942.0,house_number
100051182.0,house_number
100040671.0,shop
100040694.0,house_number
100040729.0,house_number
100040737.0,house_number
100040739.0,house_number
100040761.0,house_number
100040770.0,house_number
100040805.0,house_number
100040819.0,amenity
100040824.0,house_number
100040826.0,house_number
100040831.0,building
100040844.0,house_number
100040861.0,house_number
100040875.0,house_number
100040889.0,house_number
100040899.0,house_number
100040912.0,house_number
100040915.0,house_number
100040941.0,house_number
100040968.0,shop
100040978.0,road
100040983.0,house_number
100041006.0,house_number
100041018.0,building
100041062.0,house_number
100041076.0,shop
100041079.0,house_number
100041115.0,house_number
100041118.0,shop
100041121.0,shop
100041152.0,house_number
100041156.0,shop
100041159.0,building
100041161.0,house_number
100041174.0,house_number
100041186.0,house_number
100041215.0,house_number
100041221.0,building
100041231.0,building
100041232.0,amenity
100041237.0,house_number
100041275.0,amenity
100041276.0,house_number
100041288.0,house_number
100041307.0,shop
100041393.0,house_number
100041468.0,shop
100041478.0,house_number
100041504.0,amenity
100041511.0,amenity
100041525.0,shop
100041539.0,house_number
100041540.0,amenity
100041548.0,house_number
100041559.0,house_number
100041581.0,road
100041590.0,neighbourhood
100041624.0,house_number
100041630.0,house_number
100041643.0,road
100041666.0,shop
100041697.0,amenity
100041703.0,house_number
100041743.0,house_number
100041748.0,house_number
100048080.0,house_number
100040590.0,amenity
100040612.0,house_number
100040626.0,amenity
100040636.0,house_number
100040638.0,amenity
100040653.0,house_number
100010987.0,house_number
100040001.0,house_number
100040035.0,house_number
100040110.0,house_number
100040138.0,house_number
100040144.0,house_number
100040193.0,house_number
100040205.0,city
100040236.0,house_number
100040266.0,house_number
100040275.0,house_number
100040286.0,house_number
100040306.0,house_number
100040320.0,amenity
100040343.0,house_number
100040346.0,amenity
100040351.0,house_number
100040355.0,house_number
100040379.0,house_number
100040394.0,house_number
100040396.0,house_number
100040429.0,house_number
100040471.0,house_number
100040487.0,house_number
100040505.0,house_number
100040509.0,city
100040531.0,amenity
100040547.0,house_number
100040557.0,house_number
100040576.0,house_number
93521238.0,shop
100032000000.0,house_number
93630908.0,building
100031097.0,shop
100031130.0,house_number
100031141.0,house_number
100031162.0,house_number
100031166.0,tourism
100031169.0,shop
100031177.0,shop
100031181.0,house_number
100031185.0,neighbourhood
100031220.0,building
100031228.0,road
100031230.0,shop
100031247.0,house_number
100031249.0,suburb
100031254.0,house_number
100031257.0,house_number
100031270.0,house_number
100031290.0,road
100031334.0,house_number
100031336.0,house_number
100031413.0,amenity
100031434.0,road
100031438.0,house_number
100031458.0,house_number
100031502.0,road
100031529.0,house_number
100031534.0,house_number
100031545.0,house_number
100031569.0,house_number
100031586.0,road
100031612.0,house_number
100030019.0,road
100030045.0,building
100030079.0,building
100030084.0,house_number
100030089.0,house_number
100030091.0,house_number
100030109.0,landuse
100030140.0,house_number
100030153.0,house_number
100030162.0,house_number
100030171.0,amenity
100030183.0,house_number
100030193.0,house_number
100030194.0,road
100030224.0,house_number
100030251.0,place
100030323.0,house_number
100030327.0,house_number
100030344.0,building
100030364.0,house_number
100030380.0,road
100030381.0,house_number
100030384.0,house_number
100030422.0,house_number
100030430.0,house_number
100030433.0,house_number
100030438.0,building
100030440.0,house_number
100030447.0,amenity
100030563.0,house_number
100030583.0,road
100030628.0,house_number
100030629.0,house_number
100030666.0,road
100030673.0,house_number
100030695.0,road
100030702.0,house_number
100030717.0,house_number
100030721.0,tourism
100030736.0,house_number
100030737.0,house_number
100030750.0,amenity
100030753.0,shop
100030772.0,house_number
100030773.0,shop
100030816.0,building
100030818.0,road
100030850.0,house_number
100030860.0,shop
100030861.0,house_number
100030877.0,house_number
100030897.0,neighbourhood
100030940.0,amenity
100030961.0,shop
100030965.0,house_number
100030970.0,house_number
100030985.0,building
100031021.0,house_number
100031025.0,house_number
100031039.0,house_number
100031048.0,house_number
100031063.0,tourism
100031065.0,house_number
100031071.0,shop
100020043.0,amenity
100020076.0,shop
100020136.0,house_number
100020167.0,house_number
100020214.0,house_number
100020232.0,house_number
100020253.0,amenity
100020365.0,house_number
100020418.0,house_number
100020429.0,house_number
100020451.0,house_number
100020470.0,house_number
100020517.0,house_number
100020535.0,house_number
100020555.0,road
100020602.0,house_number
100020614.0,house_number
100020617.0,shop
100020618.0,house_number
100020623.0,house_number
100020659.0,leisure
100020665.0,house_number
100020668.0,tourism
100020683.0,office
100020687.0,building
100020690.0,house_number
100020695.0,building
100020718.0,building
100020720.0,building
100020724.0,house_number
100020751.0,house_number
100020752.0,office
100020754.0,house_number
100020776.0,building
100020777.0,building
100020785.0,road
100020819.0,house_number
100020823.0,house_number
100020836.0,house_number
100020844.0,house_number
100020864.0,building
100020866.0,house_number
100020869.0,house_number
100020875.0,house_number
100020880.0,house_number
100020919.0,house_number
100020931.0,shop
100020932.0,house_number
100020936.0,house_number
100020947.0,house_number
100020954.0,house_number
100020959.0,building
100020976.0,amenity
100020985.0,road
100020987.0,house_number
100020990.0,house_number
100020996.0,house_number
100021067.0,house_number
100021083.0,shop
100021108.0,tourism
100021140.0,house_number
100021147.0,house_number
100021154.0,house_number
100021175.0,amenity
100021201.0,shop
100021236.0,shop
100021279.0,amenity
100021285.0,house_number
100021292.0,amenity
100021303.0,house_number
100021314.0,house_number
100021328.0,house_number
100021330.0,house_number
100021346.0,house_number
100021391.0,building
100021483.0,shop
100021505.0,house_number
100021520.0,shop
100021527.0,house_number
100021662.0,aeroway
100021675.0,house_number
100021678.0,house_number
100021682.0,shop
