neighborhood,location,road,city,county,state,postcode
Grove Park,1947 DETROIT AVE,Detroit Avenue Northwest,Atlanta,Fulton County,Georgia,30314.0
Inman Park,1053 WASHITA AVE NE,Washita Avenue Northeast,Atlanta,Fulton County,Georgia,30307.0
West End,721 BERNICE ST SW,Bernice Street Southwest,Atlanta,Fulton County,Georgia,30310.0
Lenox,3393 PEACHTREE RD NE,Peachtree Road Northeast,Atlanta,Fulton County,Georgia,30326.0
Ben Hill Terrace,2101 SOUTHWOOD BLVD SW,Campbellton Road,Atlanta,Fulton County,Georgia,30331.0
Adair Park,692 PEARCE ST SW,Pearce Street Southwest,Atlanta,Fulton County,Georgia,30310.0
Center Hill,2615 DONALD LEE HOLLOWELL PKWY NW,Donald Lee Hollowell Parkway Northwest,Atlanta,Fulton County,Georgia,30318.0
Ben Hill,3390 FAIRBURN RD SW,,Atlanta,Fulton County,Georgia,30272.0
Midwest Cascade,3500 MT GILEAD RD,Regency Center Drive Southwest,Atlanta,Fulton County,Georgia,30331.0
East Atlanta,1245 GLENWOOD AVE SE,Glenwood Avenue Southeast,Atlanta,DeKalb County,Georgia,30316.0
Kirkwood,2028 PRESLEY WAY NE,Presley Way Northeast,Atlanta,DeKalb County,Georgia,30317.0
Washington Park,984 MAYSON TURNER RD NW,Mayson Turner Road Northwest,Atlanta,Fulton County,Georgia,30314.0
Virginia Highland,1054 LANIER BLVD NE,Lanier Boulevard Northeast,Atlanta,Fulton County,Georgia,30306.0
South River Gardens,1024 LITTLE HAMPTON CT SE,Little Hampton Court,Atlanta,Fulton County,Georgia,30354.0
,MARTIN L KING JR DR NW/ BOULDER PARK DR SW,Middleton Road Northwest,Atlanta,Fulton County,Georgia,30311.0
Midtown,931 MONROE DR NE,Atlanta BeltLine Eastside Trail,Atlanta,Fulton County,Georgia,30308.0
The Villages at Carver,177 MOURY AVE SW,Moury Avenue Southwest,Atlanta,Fulton County,Georgia,30315.0
Home Park,1005 HEMPHILL AVE,Hemphill Avenue Northwest,Atlanta,Fulton County,Georgia,30318.0
Pittsburgh,1085 GARIBALDI ST SW,Garibaldi Street Southwest,Atlanta,Fulton County,Georgia,30310.0
Hunter Hills,1257 EASON ST NW,Eason Street Northwest,Atlanta,Fulton County,Georgia,30314.0
Princeton Lakes,3106 ABBEY DR SW,Abbey Drive,Atlanta,Fulton County,Georgia,30331.0
Oakland City,1086 EDGEFIELD DR SW,Edgefield Drive Southwest,Atlanta,Fulton County,Georgia,30310.0
Downtown,209 EDGEWOOD AVE,Jesse Hill Junior Drive Southeast,Atlanta,Fulton County,Georgia,30303.0
Lakewood Heights,19 WHATLEY ST SE,Whatley Street Southeast,Atlanta,Fulton County,Georgia,30315.0
Collier Heights,2774 OLDKNOW DR NW,Oldknow Drive Northwest,Atlanta,Fulton County,Georgia,30318.0
Bush Mountain,1335 PLAZA AVE SW,Plaza Avenue Southwest,Atlanta,Fulton County,Georgia,30310.0
Sylvan Hills,895 BRIDGEWATER ST SW,Bridgewater Street Southwest,Atlanta,Fulton County,Georgia,30310.0
Capitol Gateway,43 WOODWARD AVE SE,Woodward Avenue Southeast,Atlanta,Fulton County,Georgia,30312.0
Mechanicsville,455 FULTON ST SW,Fulton Street Southwest,Atlanta,Fulton County,Georgia,30312.0
Campbellton Road,1994 BENT CREEK WAY SW,Bent Creek Way Southwest,Atlanta,Fulton County,Georgia,30311.0
Fairburn Mays,751 FAIRBURN RD SW,Fairburn Road Southwest,Atlanta,Fulton County,Georgia,30331.0
Kings Forest,3901 CAMPBELLTON RD SW,Campbellton Road,Atlanta,Fulton County,Georgia,30331.0
North Buckhead,3500 PEACHTREE RD NE @PHIPPS PLAZA,Peachtree Road Northeast,Atlanta,Fulton County,Georgia,30326.0
Carey Park,2591 EHTERIDGE DRIVE NW,Etheridge Drive Northwest,Atlanta,Fulton County,Georgia,30318.0
Reynoldstown,1067 MEMORIAL DR SE,Memorial Drive Southeast,Atlanta,Fulton County,Georgia,30316.0
Ben Hill Acres,3721 CAMPBELLTON RD SW,Fairburn Road Southwest,Atlanta,Fulton County,Georgia,30331.0
Summerhill,714 HANK AARON DR SE,Bill Lucas Drive Southeast,Atlanta,Fulton County,Georgia,30315.0
Old Fourth Ward,626 DEKALB AVE SE,Ezzard Street Southeast,Atlanta,Fulton County,Georgia,30312.0
Bankhead,336 JOSEPH E. LOWERY BOULEVARD,Division Street Northwest,Atlanta,Fulton County,Georgia,30314.0
Rockdale,1623 HABERSHAL DR,Habershal Drive Northwest,Atlanta,Fulton County,Georgia,30318.0
East Chastain Park,3850 ROSWELL RD NE,Roswell Road,Atlanta,Fulton County,Georgia,30342.0
Westwood Terrace,1923 S GORDON ST SW,South Gordon Street Southwest,Atlanta,Fulton County,Georgia,30310.0
Grant Park,427 CHEROKEE AVE SE,Cherokee Avenue Southeast,Atlanta,Fulton County,Georgia,30312.0
Ansley Park,15 POLO DR NE,Polo Drive Northeast,Atlanta,Fulton County,Georgia,30309.0
Atlanta University Center,488 BECKWITH CT SW,Beckwith Court Southwest,Atlanta,Fulton County,Georgia,30314.0
Sweet Auburn,115 HILLIARD ST SE,Hilliard Street Southeast,Atlanta,Fulton County,Georgia,30312.0
Adams Park,2198 VENETIAN DR SW,Venetian Drive Southwest,Atlanta,Fulton County,Georgia,30311.0
South Atlanta,55 MCDONOUGH BLVD SE @CARVER HIGH,Atlanta BeltLine Southside Trail,Atlanta,Fulton County,Georgia,30315.0
Hammond Park,2720 METROPOLITAN PKWY SW,Metropolitan Parkway Southwest,Atlanta,Fulton County,Georgia,30315.0
Harland Terrace,2680 MARTIN L KING JR DR SW,Martin Luther King Junior Drive Southwest,Atlanta,Fulton County,Georgia,30311.0
Ben Hill Forest,3494 HOGAN RD SW,Hogan Road Southwest,Atlanta,Fulton County,Georgia,30331.0
Florida Heights,2423 MARTIN L KING JR DR NW,Martin Luther King Junior Drive Southwest,Atlanta,Fulton County,Georgia,30311.0
