crime_id,neighborhood
100051597,Grove Park
100051625,Inman Park
100051630,Inman Park
100051642,West End
100051655,Lenox
100051665,Ben Hill Terrace
100051687,Adair Park
100051699,Center Hill
100051703,Ben Hill
100051726,Midwest Cascade
100051732,East Atlanta
100051743,Kirkwood
100051749,Washington Park
100051752,Virginia Highland
100051756,Center Hill
100051768,South River Gardens
100051869,Midtown
100051874,The Villages at Carver
100051942,Midtown
100051182,Home Park
100040671,Lenox
100040694,Pittsburgh
100040729,Pittsburgh
100040737,Midtown
100040739,Hunter Hills
100040770,Princeton Lakes
100040805,Oakland City
100040819,Downtown
100040824,Lakewood Heights
100040826,Washington Park
100040844,Collier Heights
100040861,Bush Mountain
100040875,Sylvan Hills
100040889,Capitol Gateway
100040899,Mechanicsville
100040912,Campbellton Road
100040915,Adair Park
100040941,Fairburn Mays
100040968,Lenox
100040978,Kings Forest
100040983,Downtown
100041006,Midtown
100041018,Downtown
100041062,South River Gardens
100041076,Lenox
100041079,South River Gardens
100041115,Lakewood Heights
100041118,North Buckhead
100041121,Lenox
100041152,Carey Park
100041156,Reynoldstown
100041159,Downtown
100041161,Ben Hill Acres
100041174,Sylvan Hills
100041186,Midtown
100041215,Midtown
100041221,Summerhill
100041231,Old Fourth Ward
100041232,Princeton Lakes
100041275,Old Fourth Ward
100041276,Collier Heights
100041288,Bankhead
100041307,Lenox
100041393,East Atlanta
100041468,Lenox
100041478,Rockdale
100041504,North Buckhead
100041511,East Chastain Park
100041525,Lenox
100041539,Lakewood Heights
100041540,North Buckhead
100041548,Westwood Terrace
100041559,Grant Park
100041581,Pittsburgh
100041590,West End
100041624,Ansley Park
100041643,West End
100041666,Grant Park
100041697,Downtown
100041703,Atlanta University Center
100041743,Adair Park
100041748,Midtown
100040590,Sweet Auburn
100040612,Adams Park
100040626,South Atlanta
100040636,Pittsburgh
100040638,Hammond Park
100040653,Old Fourth Ward
100010987,North Buckhead
100040001,Harland Terrace
100040035,Capitol Gateway
100040110,Harland Terrace
100040138,Adair Park
100040144,Virginia Highland
100040193,Capitol Gateway
100040205,Campbellton Road
100040236,The Villages at Carver
100040266,Ben Hill Forest
100040275,Florida Heights
100040286,Mozley Park
100040306,Adamsville
100040320,Midtown
100040343,Carey Park
100040346,Woodland Hills
100040355,West Highlands
100040379,Southwest
100040394,Poncey-Highland
100040396,Loring Heights
100040471,English Avenue
100040487,Summerhill
100040505,Bankhead
100040509,The Villages at Carver
100040547,Westview
100040557,Campbellton Road
100040576,Midtown
93521238,Berkeley Park
1.00032E+11,Mechanicsville
93630908,Lindbergh/Morosgo
100031097,Lenox
100031130,West Lake
100031141,Tuxedo Park
100031162,Hammond Park
100031166,Downtown
100031169,Lenox
100031177,Perkerson
100031185,Lindbergh/Morosgo
100031220,North Buckhead
100031228,Glenrose Heights
100031230,Lenox
100031247,Ormewood Park
100031249,Bankhead
100031254,Bankhead
100031257,Fairburn Mays
100031270,Downtown
100031290,West End
100031334,Vine City
100031336,West Lake
100031413,Castleberry Hill
100031434,Greenbriar
100031438,Almond Park
100031458,Inman Park
100031502,Buckhead Forest
100031529,Lakewood Heights
100031534,Venetian Hills
100031545,South Tuxedo Park
100031569,Vine City
100031586,Midtown
100031612,Butner/Tell
100030019,Downtown
100030045,Midtown
100030079,Midtown
100030084,Downtown
100030089,Fairburn Mays
100030091,Lakewood Heights
100030109,Inman Park
100030140,Buckhead Village
100030153,Buckhead Village
100030162,Buckhead Village
100030171,Virginia Highland
100030183,Pittsburgh
100030193,Home Park
100030194,Pine Hills
100030224,Westview
100030251,Adair Park
100030327,English Avenue
100030344,Downtown
100030364,Florida Heights
100030380,Buckhead Forest
100030381,Midtown
100030384,Venetian Hills
100030422,Buckhead Village
100030430,Midtown
100030433,Bankhead
100030438,Midtown
100030440,Vine City
100030447,Blandtown
100030563,Virginia Highland
100030583,Lindbergh/Morosgo
100030628,Kirkwood
100030629,Adamsville
100030666,Lindbergh/Morosgo
100030673,Beecher Hills
100030695,Pine Hills
100030702,Poncey-Highland
100030717,Ardmore
100030721,North Buckhead
100030736,Mechanicsville
100030737,East Lake
100030750,Buckhead Forest
100030753,Berkeley Park
100030772,Inman Park
100030773,Lindbergh/Morosgo
100030816,North Buckhead
100030818,Fairburn Heights
100030850,West Highlands
100030860,Buckhead Forest
100030861,Midtown
100030877,Summerhill
100030897,Atlanta University Center
100030940,Lindridge/Martin Manor
100030961,Berkeley Park
100030965,Bankhead
100030985,Midtown
100031021,Downtown
100031025,Vine City
100031039,Old Fourth Ward
100031048,Virginia Highland
100031063,Downtown
100031065,West Highlands
100031071,North Buckhead
100020043,Morningside/Lenox Park
100020076,Atlantic Station
100020136,Castleberry Hill
100020167,Midtown
100020214,The Villages at Carver
100020232,Venetian Hills
100020253,Downtown
100020365,Capitol View
100020418,Old Fourth Ward
100020429,Midtown
100020451,Capitol View
100020470,The Villages at Carver
100020517,Pittsburgh
100020535,Midtown
100020555,Piedmont Heights
100020602,Campbellton Road
100020614,South River Gardens
100020617,Lindridge/Martin Manor
100020618,Berkeley Park
100020623,Midtown
100020659,Downtown
100020665,Berkeley Park
100020668,Downtown
100020683,Greenbriar
100020687,Midtown
100020690,Home Park
100020695,Garden Hills
100020718,Adamsville
100020720,Midtown
100020724,Capitol View
100020751,Downtown
100020752,Midtown
100020754,Horseshoe Community
100020776,Sweet Auburn
100020785,Chosewood Park
100020819,Southwest
100020823,Westview
100020836,East Atlanta
100020844,Chosewood Park
100020864,North Buckhead
100020866,Pine Hills
100020869,South River Gardens
100020875,Fort Valley
100020880,Capitol Gateway
100020919,Buckhead Forest
100020931,Lenox
100020932,Downtown
100020936,Mozley Park
100020947,Glenrose Heights
100020954,Edgewood
100020959,Downtown
100020976,Adair Park
100020985,Kings Forest
100020987,Sylvan Hills
100020990,Downtown
100020996,Buckhead Forest
100021067,Thomasville Heights
100021083,Atlantic Station
100021108,Princeton Lakes
100021140,West End
100021147,South Atlanta
100021154,Midtown
100021175,Candler Park
100021201,Lenox
100021236,Lenox
100021279,Buckhead Forest
100021285,Pine Hills
100021292,Leila Valley
100021303,Lindridge/Martin Manor
100021314,Midtown
100021328,Home Park
100021330,Southwest
100021346,Lakewood Heights
100021391,North Buckhead
100021483,Lenox
100021505,West Lake
100021520,Lenox
100021527,South Atlanta
100021662,Downtown
100021675,Southwest
100021678,Boulevard Heights
100021682,West Paces Ferry/Northside
100021705,Adair Park
100021784,Harland Terrace
1.00022E+11,Capitol View
93641508,Campbellton Road
100011076,West Highlands
100011079,Midtown
100011103,Lindbergh/Morosgo
100011107,Downtown
100011146,Westview
100011158,Venetian Hills
100011202,Midtown
100011206,West End
100011217,Lakewood
100011246,Summerhill
100011264,Buckhead Forest
100011283,Bolton
100011318,West End
100011320,Downtown
100011342,Piedmont Heights
100011386,Ansley Park
100011388,Lenox
100011414,Loring Heights
100011468,Capitol Gateway
100011487,Downtown
100011490,Lenox
100011535,Southwest
100011548,Poncey-Highland
100011576,Collier Heights
100011602,Adair Park
100011629,Kings Forest
100011632,Fairburn Mays
100011643,Westview
100011672,Blandtown
100011718,Lindbergh/Morosgo
100011727,Glenrose Heights
100011728,Atlantic Station
100011729,Edgewood
100011730,Brentwood
100011741,Sweet Auburn
100011776,Inman Park
100011800,Downtown
100011809,Princeton Lakes
100011862,Candler Park
100010677,Collier Heights
100010727,Downtown
100010792,Vine City
100010824,Midtown
100010825,East Atlanta
100010829,Boulevard Heights
100010838,Castleberry Hill
100010858,Lindbergh/Morosgo
100010880,Collier Heights
100010917,Berkeley Park
100010920,Home Park
100010948,Downtown
100010950,Joyland
100010960,Chosewood Park
100010964,North Buckhead
100010972,Summerhill
93651724,Adamsville
100010117,Norwood Manor
100010121,Perkerson
100010127,Buckhead Forest
100010147,Downtown
100010149,Hammond Park
100010186,Home Park
100010191,Mechanicsville
100010236,Sylvan Hills
100010267,Downtown
100010282,Old Fourth Ward
100010286,Downtown
100010310,Inman Park
100010332,Kirkwood
100010343,Grant Park
100010372,Midtown
100010373,Southwest
100010410,West End
100010459,Downtown
100010467,Browns Mill Park
100010505,Lindridge/Martin Manor
100010506,Swallow Circle/Baywood
100010544,Piedmont Heights
100010545,West Highlands
100010556,Grant Park
100010559,Southwest
100010631,Butner/Tell
100010637,Amal Heights
100010639,Bankhead
100010988,Baker Hills
100011006,Lindridge/Martin Manor
100011016,Sylvan Hills
100011023,Downtown
100011029,South River Gardens
110311247,Downtown
110311248,Oakland City
110311253,Downtown
110311254,Oakland City
110311301,Princeton Lakes
110311308,Center Hill
110311318,Buckhead Heights
110311340,Venetian Hills
110311351,Princeton Lakes
110311394,Old Fourth Ward
110311432,Almond Park
110311482,Oakland City
110311492,Greenbriar
110311523,North Buckhead
110311552,West End
110311608,Old Fourth Ward
110311613,Ormewood Park
110311653,Peoplestown
110311730,Lindridge/Martin Manor
110311749,Summerhill
110311794,Old Fourth Ward
110311810,Sandlewood Estates
110311887,Midtown
110311967,Berkeley Park
110311989,Campbellton Road
110312006,Buckhead Forest
110312044,West End
110312062,Edgewood
110312150,Atlantic Station
110312234,Midtown
110312273,Buckhead Forest
110312336,Pittsburgh
110310019,Harland Terrace
110310048,Joyland
110310057,Downtown
110310073,Sylvan Hills
110310137,Grant Park
110310311,Downtown
110310321,Lindridge/Martin Manor
110310323,Capitol View
110310410,Venetian Hills
110310412,Edgewood
110310422,Downtown
110310430,Grove Park
110310439,Midwest Cascade
110310450,Beecher Hills
110310518,Summerhill
110310523,Peoplestown
110310542,Ben Hill
110310639,Campbellton Road
110310655,Collier Heights
110310659,Chosewood Park
110310686,Kirkwood
110310705,Old Fourth Ward
110310743,Browns Mill Park
110310745,Dixie Hills
110310793,Southwest
110310794,Lindridge/Martin Manor
110310872,Summerhill
110310873,Old Fourth Ward
110310925,Pittsburgh
110310941,Brookwood
110310952,Custer/McDonough/Guice
110310976,Wisteria Gardens
110311004,Downtown
110311013,Mechanicsville
110311022,Fairburn Tell
110311037,Inman Park
110311043,Venetian Hills
110311106,Perkerson
110311129,Glenrose Heights
110311156,Riverside
110311186,Peoplestown
110311202,Mechanicsville
110302076,Castleberry Hill
110302095,Piedmont Heights
110292283,Atlanta University Center
110290679,Vine City
110300102,The Villages at Castleberry H
110300174,Westview
110300228,West End
110300242,South Atlanta
110300271,Hunter Hills
110300342,Castleberry Hill
110300373,Downtown
110300397,Midtown
110300436,Sweet Auburn
110300438,Oakland City
110300505,English Avenue
110300511,Sylvan Hills
110300539,Sylvan Hills
110300590,Capitol View
110300606,Hammond Park
110300661,Morningside/Lenox Park
110300664,Brookwood
110300723,Thomasville Heights
110300803,Downtown
110300804,Swallow Circle/Baywood
110300810,Carver Hills
110300827,Downtown
110300845,Lakewood Heights
110300864,Hunter Hills
110300865,Collier Heights
