CrimeType,NeighborhoodCount,Neighborhoods
BURGLARY-RESIDENCE,182,"[Grove Park, Inman Park, West End, Ben Hill Terrace, Adair Park, Center Hill, Ben Hill, Midwest Cascade, East Atlanta, Kirkwood, Washington Park, Virginia Highland, South River Gardens, Midtown, The Villages at Carver, Home Park, Pittsburgh, Hunter Hills, Princeton Lakes, Oakland City, Downtown, Lakewood Heights, Collier Heights, Bush Mountain, Sylvan Hills, Capitol Gateway, Mechanicsville, Campbellton Road, Fairburn Mays, Kings Forest, North Buckhead, Carey Park, Reynoldstown, Summerhill, Old Fourth Ward, Bankhead, Rockdale, East Chastain Park, Westwood Terrace, Grant Park, Ansley Park, Atlanta University Center, Sweet Auburn, Adams Park, South Atlanta, Hammond Park, Harland Terrace, Florida Heights, Mozley Park, Adamsville, West Highlands, Southwest, Poncey-Highland, Loring Heights, English Avenue, Westview, Berkeley Park, Lindbergh/Morosgo, West Lake, Tuxedo Park, Perkerson, Glenrose Heights, Ormewood Park, Vine City, Castleberry Hill, Greenbriar, Almond Park, Venetian Hills, Butner/Tell, Buckhead Village, Pine Hills, Blandtown, Beecher Hills, East Lake, Fairburn Heights, Lindridge/Martin Manor, Morningside/Lenox Park, Capitol View, Piedmont Heights, Horseshoe Community, Chosewood Park, Fort Valley, Edgewood, Thomasville Heights, Candler Park, Leila Valley, Boulevard Heights, Lakewood, Bolton, Brentwood, Joyland, Norwood Manor, Browns Mill Park, Swallow Circle/Baywood, Amal Heights, Baker Hills, Buckhead Heights, Peoplestown, Dixie Hills, Brookwood, Custer/McDonough/Guice, Wisteria Gardens, Riverside, The Villages at Castleberry H, Carver Hills, Ashley Courts, Ashview Heights, Hanover West, Carroll Heights, Underwood Hills, Cascade Avenue/Road, Brookhaven, Laurens Valley, Harris Chiles, Cabbagetown, Peachtree Heights West, Channing Valley, Old Gordon, Betmar LaVilla, Ben Hill Pines, Rosedale Heights, The Villages at East Lake, West Manor, Westhaven, Deerwood, Paces, Whittier Mill Village, Benteen Park, Penelope Neighbors, Lake Claire, Fairburn, Peachtree Battle Alliance, English Park, Heritage Valley, Cross Creek, Bankhead/Bolton, Niskey Lake, High Point, Scotts Crossing, Monroe Heights, Lincoln Homes, Wesley Battle, Pleasant Hill, Polar Rock, Blair Villa/Poole Creek, Mays, Memorial Park, Capitol View Manor, Orchard Knob, Knight Park/Howell Station, Cascade Heights, Mt. Gilead Woods, Wildwood (NPU-H), Wilson Mill Meadows, Druid Hills, Niskey Cove, Ridgewood Heights, Audobon Forest, Fairway Acres, Elmco Estates, Kingswood, Margaret Mitchell, Chastain Park, Just Us, Regency Trace, Arlington Estates, Ridgedale Park, Colonial Homes, Cascade Green, Whitewater Creek, Mt. Paran/Northside, Wyngate, Ridgecrest Forest, Greenbriar Village, Tampa Park, Ivan Hill, Briar Glen, Meadowbrook Forest, Rebel Valley Forest, Wildwood Forest, Mellwood, Magnum Manor]"
LARCENY-FROM VEHICLE,171,"[Grove Park, Inman Park, West End, Lenox, Ben Hill Terrace, Adair Park, Center Hill, Ben Hill, Midwest Cascade, East Atlanta, Kirkwood, Washington Park, Virginia Highland, South River Gardens, Midtown, The Villages at Carver, Home Park, Pittsburgh, Hunter Hills, Princeton Lakes, Oakland City, Downtown, Lakewood Heights, Collier Heights, Sylvan Hills, Capitol Gateway, Mechanicsville, Campbellton Road, Fairburn Mays, Kings Forest, North Buckhead, Carey Park, Reynoldstown, Summerhill, Old Fourth Ward, Bankhead, East Chastain Park, Westwood Terrace, Grant Park, Ansley Park, Atlanta University Center, Sweet Auburn, Adams Park, South Atlanta, Hammond Park, Harland Terrace, Florida Heights, Mozley Park, Adamsville, Woodland Hills, West Highlands, Southwest, Poncey-Highland, Loring Heights, English Avenue, Westview, Berkeley Park, Lindbergh/Morosgo, West Lake, Tuxedo Park, Perkerson, Glenrose Heights, Ormewood Park, Vine City, Castleberry Hill, Greenbriar, Almond Park, Buckhead Forest, Venetian Hills, South Tuxedo Park, Buckhead Village, Pine Hills, Blandtown, Beecher Hills, Ardmore, East Lake, Fairburn Heights, Lindridge/Martin Manor, Morningside/Lenox Park, Atlantic Station, Capitol View, Piedmont Heights, Garden Hills, Chosewood Park, Edgewood, Thomasville Heights, Candler Park, Leila Valley, West Paces Ferry/Northside, Lakewood, Bolton, Norwood Manor, Browns Mill Park, Baker Hills, Buckhead Heights, Peoplestown, Dixie Hills, Brookwood, Custer/McDonough/Guice, Wisteria Gardens, Riverside, The Villages at Castleberry H, Carver Hills, Ashley Courts, Ashview Heights, Underwood Hills, Cascade Avenue/Road, Brookhaven, Laurens Valley, Harris Chiles, Cabbagetown, Marietta Street Artery, Brandon, Peachtree Heights West, Hills Park, Channing Valley, Old Gordon, Betmar LaVilla, Oakland, Ben Hill Pines, Rosedale Heights, Wildwood (NPU-C), The Villages at East Lake, West Manor, Westhaven, Deerwood, Paces, Whittier Mill Village, Brookwood Hills, Benteen Park, Penelope Neighbors, Peachtree Park, Lake Claire, Peachtree Battle Alliance, English Park, Cross Creek, Bankhead/Bolton, Scotts Crossing, Monroe Heights, Atlanta Industrial Park, Brookview Heights, Bakers Ferry, Polar Rock, Blair Villa/Poole Creek, Peachtree Hills, Capitol View Manor, Knight Park/Howell Station, Cascade Heights, Fairburn Road/Wisteria Lane, Wilson Mill Meadows, Druid Hills, Pomona Park, Peachtree Heights East, Ridgewood Heights, Randall Mill, Audobon Forest, Elmco Estates, Chastain Park, Arlington Estates, Bankhead Courts, Sherwood Forest, Ridgedale Park, Colonial Homes, Audobon Forest West, Chalet Woods, Atkins Park, Rue Royal, Collier Hills, Castlewood, Wildwood Forest, Oakcliff]"
LARCENY-NON VEHICLE,161,"[Grove Park, Inman Park, West End, Lenox, Adair Park, Center Hill, Ben Hill, Midwest Cascade, East Atlanta, Kirkwood, Washington Park, Virginia Highland, South River Gardens, Midtown, The Villages at Carver, Home Park, Pittsburgh, Hunter Hills, Princeton Lakes, Oakland City, Downtown, Lakewood Heights, Collier Heights, Sylvan Hills, Capitol Gateway, Mechanicsville, Campbellton Road, Fairburn Mays, Kings Forest, North Buckhead, Carey Park, Reynoldstown, Ben Hill Acres, Summerhill, Old Fourth Ward, Bankhead, Westwood Terrace, Grant Park, Atlanta University Center, Sweet Auburn, Adams Park, South Atlanta, Hammond Park, Harland Terrace, Florida Heights, Mozley Park, Adamsville, Woodland Hills, West Highlands, Southwest, Poncey-Highland, Loring Heights, English Avenue, Westview, Berkeley Park, Lindbergh/Morosgo, West Lake, Tuxedo Park, Perkerson, Glenrose Heights, Ormewood Park, Vine City, Castleberry Hill, Greenbriar, Almond Park, Buckhead Forest, Venetian Hills, South Tuxedo Park, Buckhead Village, Pine Hills, Blandtown, Ardmore, East Lake, Lindridge/Martin Manor, Morningside/Lenox Park, Atlantic Station, Capitol View, Piedmont Heights, Garden Hills, Chosewood Park, Fort Valley, Edgewood, Thomasville Heights, Candler Park, Leila Valley, Boulevard Heights, West Paces Ferry/Northside, Lakewood, Bolton, Joyland, Browns Mill Park, Swallow Circle/Baywood, Baker Hills, Peoplestown, Sandlewood Estates, Dixie Hills, Custer/McDonough/Guice, Wisteria Gardens, Riverside, The Villages at Castleberry H, Carver Hills, Ashley Courts, Ashview Heights, Carroll Heights, Underwood Hills, Cascade Avenue/Road, Brookhaven, Harris Chiles, Cabbagetown, Brandon, Peyton Forest, Peachtree Heights West, Hills Park, Old Gordon, Argonne Forest, Rosedale Heights, Wildwood (NPU-C), The Villages at East Lake, West Manor, Westhaven, Brookwood Hills, Benteen Park, Peachtree Park, Peachtree Battle Alliance, English Park, Heritage Valley, Cross Creek, Bankhead/Bolton, Scotts Crossing, Monroe Heights, Lincoln Homes, Atlanta Industrial Park, Brookview Heights, Wesley Battle, Pleasant Hill, Polar Rock, Bolton Hills, Blair Villa/Poole Creek, Peachtree Hills, Capitol View Manor, Harvel Homes Community, Knight Park/Howell Station, Cascade Heights, Fairburn Road/Wisteria Lane, Wilson Mill Meadows, Druid Hills, Ridgewood Heights, Randall Mill, Georgia Tech, Audobon Forest, Fairway Acres, Elmco Estates, Kingswood, Boulder Park, Chastain Park, Arlington Estates, Audobon Forest West, Atkins Park, Wyngate, Ridgecrest Forest, Rebel Valley Forest]"
AUTO THEFT,155,"[Grove Park, Inman Park, West End, Lenox, Ben Hill Terrace, Adair Park, Center Hill, Ben Hill, Midwest Cascade, East Atlanta, Kirkwood, Washington Park, Virginia Highland, South River Gardens, Midtown, The Villages at Carver, Home Park, Pittsburgh, Hunter Hills, Princeton Lakes, Oakland City, Downtown, Lakewood Heights, Collier Heights, Bush Mountain, Sylvan Hills, Capitol Gateway, Mechanicsville, Campbellton Road, Fairburn Mays, Kings Forest, North Buckhead, Carey Park, Reynoldstown, Summerhill, Old Fourth Ward, Bankhead, Rockdale, Westwood Terrace, Grant Park, Ansley Park, Atlanta University Center, Sweet Auburn, Adams Park, South Atlanta, Hammond Park, Harland Terrace, Ben Hill Forest, Florida Heights, Mozley Park, Adamsville, Woodland Hills, West Highlands, Southwest, Poncey-Highland, Loring Heights, English Avenue, Westview, Berkeley Park, Lindbergh/Morosgo, West Lake, Perkerson, Glenrose Heights, Ormewood Park, Vine City, Castleberry Hill, Greenbriar, Almond Park, Buckhead Forest, Venetian Hills, Butner/Tell, Buckhead Village, Pine Hills, Blandtown, Beecher Hills, East Lake, Fairburn Heights, Lindridge/Martin Manor, Morningside/Lenox Park, Atlantic Station, Capitol View, Piedmont Heights, Garden Hills, Chosewood Park, Fort Valley, Edgewood, Thomasville Heights, Candler Park, Leila Valley, Bolton, Joyland, Norwood Manor, Browns Mill Park, Swallow Circle/Baywood, Amal Heights, Baker Hills, Buckhead Heights, Peoplestown, Dixie Hills, Brookwood, Custer/McDonough/Guice, Fairburn Tell, The Villages at Castleberry H, Carver Hills, Ashley Courts, Ashview Heights, Carroll Heights, Underwood Hills, Cascade Avenue/Road, Brookhaven, Laurens Valley, Harris Chiles, Cabbagetown, Marietta Street Artery, Peyton Forest, Peachtree Heights West, Hills Park, Old Gordon, Betmar LaVilla, Oakland, Rosedale Heights, Wildwood (NPU-C), The Villages at East Lake, Westhaven, Paces, Benteen Park, Lake Claire, English Park, Heritage Valley, Cross Creek, Bankhead/Bolton, High Point, Scotts Crossing, Atlanta Industrial Park, Polar Rock, Blair Villa/Poole Creek, Mays, Peachtree Hills, Capitol View Manor, Orchard Knob, Cascade Heights, Mt. Gilead Woods, Fairburn Road/Wisteria Lane, Wildwood (NPU-H), Wilson Mill Meadows, Ridgewood Heights, Fairway Acres, Elmco Estates, Margaret Mitchell, Just Us, Arlington Estates, Colonial Homes, Whitewater Creek, Briar Glen, Meadowbrook Forest]"
AGG ASSAULT,110,"[Grove Park, Inman Park, West End, Adair Park, Center Hill, Ben Hill, Midwest Cascade, East Atlanta, Kirkwood, Washington Park, South River Gardens, Midtown, The Villages at Carver, Home Park, Pittsburgh, Hunter Hills, Oakland City, Downtown, Lakewood Heights, Collier Heights, Bush Mountain, Sylvan Hills, Mechanicsville, Campbellton Road, Fairburn Mays, North Buckhead, Carey Park, Reynoldstown, Summerhill, Old Fourth Ward, Bankhead, Rockdale, East Chastain Park, Grant Park, Atlanta University Center, Sweet Auburn, Adams Park, South Atlanta, Hammond Park, Harland Terrace, Ben Hill Forest, Florida Heights, Mozley Park, Adamsville, Southwest, Loring Heights, English Avenue, Westview, Lindbergh/Morosgo, West Lake, Perkerson, Glenrose Heights, Ormewood Park, Vine City, Castleberry Hill, Greenbriar, Almond Park, Venetian Hills, South Tuxedo Park, Buckhead Village, Pine Hills, Blandtown, Ardmore, East Lake, Lindridge/Martin Manor, Morningside/Lenox Park, Atlantic Station, Capitol View, Piedmont Heights, Chosewood Park, Fort Valley, Edgewood, Thomasville Heights, Candler Park, Leila Valley, Lakewood, Norwood Manor, Browns Mill Park, Swallow Circle/Baywood, Baker Hills, Peoplestown, Dixie Hills, Custer/McDonough/Guice, Wisteria Gardens, Carver Hills, Ashley Courts, Ashview Heights, Carroll Heights, Cascade Avenue/Road, Harris Chiles, Old Gordon, Rosedale Heights, West Manor, Benteen Park, Fairburn, Heritage Valley, High Point, Scotts Crossing, Brookview Heights, Polar Rock, Orchard Knob, Knight Park/Howell Station, Wildwood (NPU-H), Wilson Mill Meadows, Peachtree Heights East, Elmco Estates, Sherwood Forest, Cascade Green, Briar Glen, Rebel Valley Forest]"
ROBBERY-PEDESTRIAN,104,"[Grove Park, Inman Park, West End, Lenox, Adair Park, Center Hill, Ben Hill, East Atlanta, Kirkwood, Washington Park, Virginia Highland, South River Gardens, Midtown, The Villages at Carver, Home Park, Pittsburgh, Hunter Hills, Oakland City, Downtown, Lakewood Heights, Collier Heights, Bush Mountain, Sylvan Hills, Mechanicsville, Campbellton Road, Fairburn Mays, Kings Forest, North Buckhead, Carey Park, Reynoldstown, Summerhill, Old Fourth Ward, Bankhead, Grant Park, Atlanta University Center, Sweet Auburn, Adams Park, South Atlanta, Hammond Park, Harland Terrace, Florida Heights, Mozley Park, Adamsville, West Highlands, Southwest, Poncey-Highland, English Avenue, Westview, Berkeley Park, Lindbergh/Morosgo, West Lake, Perkerson, Glenrose Heights, Ormewood Park, Vine City, Castleberry Hill, Greenbriar, Almond Park, Venetian Hills, South Tuxedo Park, Pine Hills, Beecher Hills, East Lake, Lindridge/Martin Manor, Atlantic Station, Capitol View, Piedmont Heights, Chosewood Park, Edgewood, Thomasville Heights, Candler Park, Lakewood, Joyland, Browns Mill Park, Baker Hills, Peoplestown, Dixie Hills, Brookwood, Custer/McDonough/Guice, Wisteria Gardens, Fairburn Tell, Carroll Heights, Underwood Hills, Cascade Avenue/Road, Cabbagetown, Marietta Street Artery, Peachtree Heights West, Betmar LaVilla, The Villages at East Lake, Westhaven, Peachtree Park, Bankhead/Bolton, Scotts Crossing, Lincoln Homes, Polar Rock, Peachtree Hills, Capitol View Manor, Harvel Homes Community, Wilson Mill Meadows, Pomona Park, Georgia Tech, Chastain Park, Arlington Estates, Ridgedale Park]"
BURGLARY-NONRES,85,"[Grove Park, Inman Park, West End, Lenox, Center Hill, East Atlanta, Kirkwood, Virginia Highland, Midtown, Home Park, Pittsburgh, Hunter Hills, Oakland City, Downtown, Lakewood Heights, Collier Heights, Sylvan Hills, Mechanicsville, Campbellton Road, North Buckhead, Carey Park, Reynoldstown, Summerhill, Old Fourth Ward, Bankhead, Rockdale, East Chastain Park, Grant Park, Atlanta University Center, Sweet Auburn, Adams Park, South Atlanta, Hammond Park, Harland Terrace, Florida Heights, Adamsville, West Highlands, Southwest, Loring Heights, English Avenue, Westview, Berkeley Park, Lindbergh/Morosgo, Perkerson, Glenrose Heights, Ormewood Park, Vine City, Castleberry Hill, Greenbriar, Venetian Hills, Buckhead Village, Blandtown, East Lake, Fairburn Heights, Lindridge/Martin Manor, Piedmont Heights, Garden Hills, Edgewood, Thomasville Heights, Lakewood, Bolton, Norwood Manor, Swallow Circle/Baywood, Peoplestown, Dixie Hills, Brookwood, Custer/McDonough/Guice, Fairburn Tell, Ashview Heights, Carroll Heights, Underwood Hills, Cascade Avenue/Road, Peachtree Heights West, Channing Valley, Westhaven, Paces, Peachtree Park, English Park, Scotts Crossing, Bakers Ferry, Polar Rock, Blair Villa/Poole Creek, Capitol View Manor, Orchard Knob, Boulder Park]"
ROBBERY-RESIDENCE,38,"[Grove Park, Center Hill, East Atlanta, South River Gardens, Midtown, Home Park, Pittsburgh, Hunter Hills, Oakland City, Downtown, Lakewood Heights, Capitol Gateway, Mechanicsville, Old Fourth Ward, Bankhead, Grant Park, Atlanta University Center, Harland Terrace, Southwest, Loring Heights, Westview, Berkeley Park, West Lake, Glenrose Heights, Ormewood Park, Vine City, Buckhead Forest, Pine Hills, Capitol View, Bolton, Peoplestown, Ashview Heights, Rosedale Heights, Westhaven, Benteen Park, Cross Creek, Scotts Crossing, Capitol View Manor]"
ROBBERY-COMMERCIAL,37,"[West End, Lenox, Center Hill, East Atlanta, Kirkwood, South River Gardens, Hunter Hills, Downtown, Lakewood Heights, Sylvan Hills, Mechanicsville, North Buckhead, Carey Park, Summerhill, Old Fourth Ward, South Atlanta, Florida Heights, Adamsville, Loring Heights, Lindbergh/Morosgo, Perkerson, Castleberry Hill, Greenbriar, Venetian Hills, East Lake, Morningside/Lenox Park, Capitol View, Piedmont Heights, Edgewood, Thomasville Heights, West Paces Ferry/Northside, Lakewood, Norwood Manor, Browns Mill Park, Custer/McDonough/Guice, Carver Hills, Peachtree Heights West]"
RAPE,20,"[West End, South River Gardens, Mechanicsville, Campbellton Road, Grant Park, Hammond Park, Harland Terrace, Berkeley Park, Lindbergh/Morosgo, Glenrose Heights, Vine City, Blandtown, Lindridge/Martin Manor, Atlantic Station, Capitol View, Chosewood Park, Riverside, Peachtree Heights West, Rosedale Heights, Fairburn Road/Wisteria Lane]"
