p.property_type,CrimeTypes
house_number,"[AUTO THEFT, AGG ASSAULT, BURGLARY-RESIDENCE, LARCENY-NON VEHICLE, LARCENY-FROM VEHICLE, ROBBERY-PEDESTRIAN, ROBBERY-RESIDENCE, BURGLARY-NONRES, HOMICIDE, ROBBERY-COMMERCIAL, RAPE]"
amenity,"[LARCENY-NON VEHICLE, LARCENY-FROM VEHICLE, BURGLARY-NONRES, BURGLARY-RESIDENCE, AUTO THEFT, RAPE, ROBBERY-COMMERCIAL, ROBBERY-PEDESTRIAN, AGG ASSAULT, ROBBERY-RESIDENCE, HOMICIDE]"
shop,"[LARCENY-NON VEHICLE, BURGLARY-NONRES, AUTO THEFT, LARCENY-FROM VEHICLE, ROBBERY-PEDESTRIAN, RAPE, ROBBERY-COMMERCIAL, AGG ASSAULT]"
city,"[ROBBERY-PEDESTRIAN, AUTO THEFT, BURGLARY-RESIDENCE, LARCENY-NON VEHICLE, BURGLARY-NONRES, LARCENY-FROM VEHICLE, AGG ASSAULT, ROBBERY-RESIDENCE]"
building,"[AUTO THEFT, LARCENY-FROM VEHICLE, ROBBERY-PEDESTRIAN, BURGLARY-RESIDENCE, BURGLARY-NONRES, LARCENY-NON VEHICLE, AGG ASSAULT, ROBBERY-COMMERCIAL, ROBBERY-RESIDENCE, RAPE]"
road,"[BURGLARY-RESIDENCE, AUTO THEFT, ROBBERY-PEDESTRIAN, RAPE, LARCENY-FROM VEHICLE, LARCENY-NON VEHICLE, HOMICIDE, AGG ASSAULT, BURGLARY-NONRES, ROBBERY-RESIDENCE, ROBBERY-COMMERCIAL]"
neighbourhood,"[LARCENY-NON VEHICLE, AUTO THEFT, ROBBERY-PEDESTRIAN, ROBBERY-RESIDENCE, AGG ASSAULT, BURGLARY-RESIDENCE, LARCENY-FROM VEHICLE, BURGLARY-NONRES]"
tourism,"[LARCENY-FROM VEHICLE, LARCENY-NON VEHICLE, BURGLARY-RESIDENCE, BURGLARY-NONRES, AUTO THEFT, AGG ASSAULT, ROBBERY-PEDESTRIAN, HOMICIDE]"
suburb,"[LARCENY-NON VEHICLE, AGG ASSAULT, ROBBERY-PEDESTRIAN, AUTO THEFT, BURGLARY-RESIDENCE, LARCENY-FROM VEHICLE]"
landuse,"[LARCENY-FROM VEHICLE, LARCENY-NON VEHICLE]"
place,"[AGG ASSAULT, LARCENY-NON VEHICLE, LARCENY-FROM VEHICLE, AUTO THEFT]"
leisure,"[AGG ASSAULT, BURGLARY-RESIDENCE, LARCENY-FROM VEHICLE, BURGLARY-NONRES, LARCENY-NON VEHICLE, AUTO THEFT, ROBBERY-PEDESTRIAN, HOMICIDE]"
office,"[LARCENY-FROM VEHICLE, AGG ASSAULT, ROBBERY-PEDESTRIAN, AUTO THEFT, ROBBERY-COMMERCIAL, LARCENY-NON VEHICLE]"
aeroway,"[LARCENY-FROM VEHICLE, LARCENY-NON VEHICLE]"
historic,"[LARCENY-NON VEHICLE, LARCENY-FROM VEHICLE, ROBBERY-PEDESTRIAN]"
residential,"[AUTO THEFT, BURGLARY-RESIDENCE]"
retail,[LARCENY-NON VEHICLE]
club,[LARCENY-NON VEHICLE]
railway,[BURGLARY-NONRES]
town,"[AUTO THEFT, LARCENY-NON VEHICLE]"
highway,"[LARCENY-NON VEHICLE, AUTO THEFT, LARCENY-FROM VEHICLE]"
quarter,"[RAPE, LARCENY-NON VEHICLE]"
craft,"[LARCENY-FROM VEHICLE, ROBBERY-PEDESTRIAN, BURGLARY-RESIDENCE]"
man_made,[LARCENY-FROM VEHICLE]
hamlet,"[BURGLARY-RESIDENCE, AUTO THEFT]"
