Beat_ID,Month,CrimeRate
508,3,13
210,2,9
305,2,9
605,4,9
208,3,9
210,4,8
210,3,8
211,1,8
412,5,7
501,2,7
306,4,7
605,1,7
410,4,7
407,1,7
511,1,7
505,1,7
304,4,7
604,1,7
206,3,7
602,5,6
602,3,6
302,9,6
307,4,6
505,2,6
208,4,6
208,2,6
503,1,6
207,2,6
603,4,6
607,2,6
204,1,6
102,1,6
602,4,5
602,9,5
301,2,5
414,4,5
108,9,5
506,3,5
302,11,5
307,3,5
211,3,5
303,2,5
511,4,5
503,4,5
604,4,5
603,9,5
401,4,5
401,1,5
101,5,5
409,2,5
409,1,5
204,2,5
508,1,5
102,3,5
411,3,5
609,12,5
512,1,5
310,1,5
602,1,4
402,4,4
402,12,4
210,10,4
210,6,4
412,4,4
301,4,4
612,1,4
105,1,4
601,5,4
108,5,4
108,12,4
111,3,4
111,11,4
506,2,4
305,4,4
502,2,4
502,1,4
501,1,4
501,12,4
302,4,4
302,3,4
510,3,4
211,5,4
605,2,4
303,9,4
410,9,4
511,11,4
505,4,4
505,3,4
505,5,4
208,1,4
208,6,4
606,10,4
604,11,4
604,5,4
207,5,4
603,1,4
603,11,4
106,3,4
110,4,4
110,3,4
110,12,4
110,11,4
209,8,4
404,8,4
413,10,4
507,2,4
409,4,4
104,9,4
408,3,4
204,4,4
204,9,4
508,12,4
206,11,4
509,8,4
203,8,4
212,2,4
212,1,4
312,12,4
312,7,4
310,2,4
050,5,4
107,12,3
107,7,3
107,6,3
107,2,3
602,11,3
602,8,3
602,6,3
402,1,3
402,9,3
210,1,3
210,12,3
210,9,3
210,8,3
412,2,3
301,5,3
301,3,3
109,9,3
109,6,3
109,4,3
414,2,3
414,3,3
612,12,3
610,3,3
610,8,3
105,3,3
105,7,3
601,3,3
601,6,3
108,8,3
111,5,3
111,2,3
111,1,3
506,4,3
305,8,3
502,4,3
501,11,3
501,6,3
302,10,3
302,6,3
406,4,3
406,1,3
403,6,3
510,2,3
307,2,3
307,1,3
211,4,3
211,2,3
112,1,3
306,2,3
306,1,3
605,8,3
303,4,3
303,3,3
303,8,3
410,2,3
410,5,3
410,3,3
407,3,3
511,3,3
505,11,3
208,9,3
113,4,3
113,11,3
113,9,3
113,8,3
113,7,3
606,8,3
503,12,3
304,11,3
604,3,3
604,12,3
207,4,3
207,3,3
603,8,3
603,6,3
106,4,3
106,1,3
404,4,3
404,3,3
404,1,3
401,3,3
401,6,3
401,2,3
413,1,3
507,4,3
507,12,3
507,8,3
101,10,3
409,10,3
409,5,3
311,3,3
311,1,3
405,2,3
405,1,3
104,4,3
104,10,3
104,3,3
408,11,3
103,7,3
204,3,3
