Zone,StartCrime,EndCrime,path
E,"(:Crime {date: 2010-03-01,month: 3,year: 2010,crime: AUTO THEFT,crime_id: 100031185.0})","(:Crime {date: 2010-03-11,month: 3,year: 2010,crime: AGG ASSAULT,crime_id: 103072138.0})","(:Crime {date: 2010-03-01,month: 3,year: 2010,crime: AUTO THEFT,crime_id: 100031185.0})-[:ON_BEAT]->(:Beat {npu: E,beat: 211})<-[:ON_BEAT]-(:Crime {date: 2010-03-11,month: 3,year: 2010,crime: AGG ASSAULT,crime_id: 103072138.0})"
E,"(:Crime {date: 2010-03-01,month: 3,year: 2010,crime: AUTO THEFT,crime_id: 100030583.0})","(:Crime {date: 2010-03-11,month: 3,year: 2010,crime: AGG ASSAULT,crime_id: 103072138.0})","(:Crime {date: 2010-03-01,month: 3,year: 2010,crime: AUTO THEFT,crime_id: 100030583.0})-[:ON_BEAT]->(:Beat {npu: E,beat: 211})<-[:ON_BEAT]-(:Crime {date: 2010-03-11,month: 3,year: 2010,crime: AGG ASSAULT,crime_id: 103072138.0})"
E,"(:Crime {date: 2010-03-01,month: 3,year: 2010,crime: AUTO THEFT,crime_id: 100030666.0})","(:Crime {date: 2010-03-11,month: 3,year: 2010,crime: AGG ASSAULT,crime_id: 103072138.0})","(:Crime {date: 2010-03-01,month: 3,year: 2010,crime: AUTO THEFT,crime_id: 100030666.0})-[:ON_BEAT]->(:Beat {npu: E,beat: 211})<-[:ON_BEAT]-(:Crime {date: 2010-03-11,month: 3,year: 2010,crime: AGG ASSAULT,crime_id: 103072138.0})"
G,"(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 103080834.0})","(:Crime {date: 2010-05-11,month: 5,year: 2010,crime: AGG ASSAULT,crime_id: 103091095.0})","(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 103080834.0})-[:ON_BEAT]->(:Beat {npu: G,beat: 110})<-[:ON_BEAT]-(:Crime {date: 2010-05-11,month: 5,year: 2010,crime: AGG ASSAULT,crime_id: 103091095.0})"
H,"(:Crime {date: 2010-09-11,month: 9,year: 2010,crime: AUTO THEFT,crime_id: 103130957.0})","(:Crime {date: 2010-10-11,month: 10,year: 2010,crime: AGG ASSAULT,crime_id: 103141307.0})","(:Crime {date: 2010-09-11,month: 9,year: 2010,crime: AUTO THEFT,crime_id: 103130957.0})-[:ON_BEAT]->(:Beat {npu: H,beat: 407})<-[:ON_BEAT]-(:Crime {date: 2010-10-11,month: 10,year: 2010,crime: AGG ASSAULT,crime_id: 103141307.0})"
I,"(:Crime {date: 2010-04-01,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 100040547.0})","(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AGG ASSAULT,crime_id: 103080591.0})","(:Crime {date: 2010-04-01,month: 4,year: 2010,crime: AUTO THEFT,crime_id: 100040547.0})-[:ON_BEAT]->(:Beat {npu: I,beat: 404})<-[:ON_BEAT]-(:Crime {date: 2010-04-11,month: 4,year: 2010,crime: AGG ASSAULT,crime_id: 103080591.0})"
I,"(:Crime {date: 2010-06-11,month: 6,year: 2010,crime: AUTO THEFT,crime_id: 103101394.0})","(:Crime {date: 2010-07-11,month: 7,year: 2010,crime: AGG ASSAULT,crime_id: 103110941.0})","(:Crime {date: 2010-06-11,month: 6,year: 2010,crime: AUTO THEFT,crime_id: 103101394.0})-[:ON_BEAT]->(:Beat {npu: I,beat: 404})<-[:ON_BEAT]-(:Crime {date: 2010-07-11,month: 7,year: 2010,crime: AGG ASSAULT,crime_id: 103110941.0})"
I,"(:Crime {date: 2011-04-01,month: 4,year: 2011,crime: AUTO THEFT,crime_id: 110041566.0})","(:Crime {date: 2011-05-01,month: 5,year: 2011,crime: AGG ASSAULT,crime_id: 110050327.0})","(:Crime {date: 2011-04-01,month: 4,year: 2011,crime: AUTO THEFT,crime_id: 110041566.0})-[:ON_BEAT]->(:Beat {npu: I,beat: 406})<-[:ON_BEAT]-(:Crime {date: 2011-05-01,month: 5,year: 2011,crime: AGG ASSAULT,crime_id: 110050327.0})"
I,"(:Crime {date: 2011-06-01,month: 6,year: 2011,crime: AUTO THEFT,crime_id: 110060617.0})","(:Crime {date: 2011-07-01,month: 7,year: 2011,crime: AGG ASSAULT,crime_id: 110072444.0})","(:Crime {date: 2011-06-01,month: 6,year: 2011,crime: AUTO THEFT,crime_id: 110060617.0})-[:ON_BEAT]->(:Beat {npu: I,beat: 405})<-[:ON_BEAT]-(:Crime {date: 2011-07-01,month: 7,year: 2011,crime: AGG ASSAULT,crime_id: 110072444.0})"
J,"(:Crime {date: 2010-02-11,month: 2,year: 2010,crime: AUTO THEFT,crime_id: 103060723.0})","(:Crime {date: 2010-03-11,month: 3,year: 2010,crime: AGG ASSAULT,crime_id: 103071750.0})","(:Crime {date: 2010-02-11,month: 2,year: 2010,crime: AUTO THEFT,crime_id: 103060723.0})-[:ON_BEAT]->(:Beat {npu: J,beat: 108})<-[:ON_BEAT]-(:Crime {date: 2010-03-11,month: 3,year: 2010,crime: AGG ASSAULT,crime_id: 103071750.0})"
